id,lm,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
220,0.045,0.0052384196177732,0.0019050866177732,0.0015609110192508,0.0076726667303156,-0.49563928325001,-8.2523672280412,0.62500002000017,0
329,0.045,0.0034934762187343,0.00016014321873433,0.0010559201185589,0.092915841935937,0.06547200239005,-8.2453705146604,5.4657419651186,0
221,0.045,0.0045920847499511,0.0012587517499511,0.00068588099454347,0.0021001960133328,-0.28272508935309,-8.2373682389268,0.87500002800017,0
418,0.045,0.0038836576766979,0.00055032467669787,0.00054202860943765,-0.0039689998181877,-0.12542097981486,-8.2034307859243,1.2110565730151,0
407,0.045,0.0033681716420002,3.4838642000192e-05,0.00045781579846111,-0.0016943732614172,-0.031640124997262,-8.1885681921246,2.4992992602182,0
369,0.045,0.003598725125661,0.00026539212566105,0.00041663369181172,0.040202197659413,0.014768243339343,-8.1858363489161,4.352350030072,0
382,0.045,0.0034825123630353,0.00014917936303528,0.00042518793639029,0.019104688997009,-0.0058833500735674,-8.1819885730955,3.8646628622612,0
356,0.045,0.0036370741523776,0.00030374115237755,0.00047992499098647,0.06920844049956,0.043118180674211,-8.1476945980281,4.8518527161292,0
395,0.045,0.0034061231272631,7.2790127263106e-05,0.00043327035993853,0.0070635632839454,-0.018534751699681,-8.1421132024664,3.3857424751825,0
419,0.045,0.0035142775970303,0.00018094459703034,0.0004621836573286,-0.0050174857459844,-0.063207321596922,-8.141712058789,1.6318169326883,0
316,0.045,0.003733636998531,0.00040030399853099,0.0011155216537113,0.058959872349798,0.044533622990629,-8.1330006845384,5.9939286070618,0
343,0.045,0.0034694325582516,0.00013609955825162,0.00069792420271246,0.087051889739524,0.063235880475804,-8.073079010671,5.364131606334,0
408,0.045,0.0033713112352979,3.7978235297896e-05,0.00043219099702556,0.00073034857121339,-0.026585305060425,-8.0690139019789,2.9178562776118,0
420,0.045,0.0033982996965254,6.4966696525357e-05,0.00044393970065669,-0.0045148968930581,-0.041849603567793,-8.0623841155942,2.0494426384445,0
20,0.045,0.0056160447179157,0.0022827117179157,0.0020193010629919,0.0050281725965992,-1.057071058574,-8.0311751310065,0.12500000400028,0
21,0.045,0.005607273367167,0.002273940367167,0.0014777523599829,0.0083822417593888,-0.77604546197192,-8.0265104431729,0.37500001200028,0
222,0.045,0.00528889758142,0.00195556458142,0.00090557590623753,0.0059899925562049,-0.49463722991758,-8.0171624430577,0.62500002000018,0
223,0.045,0.0046125287823524,0.0012791957823524,0.00042353918841225,0.00038154402370291,-0.27758670363926,-8.0031311306611,0.87500002800018,0
383,0.045,0.0034990675990426,0.00016573459904262,0.00036655631243621,0.024078348917422,0.0011121222523304,-7.9916575301173,4.2795196188738,0
303,0.040319444067181,0.003677932406607,0.00034459940660702,0.0009833765914031,0.017071661222269,0.013965434363379,-7.987461210552,6.52620442359,0
396,0.045,0.0034213337118036,8.800071180365e-05,0.00038889433557954,0.010966056590525,-0.013335339708031,-7.9790159586651,3.8003316849,0
432,0.045,0.0038902329370163,0.00055689993701628,0.00050345025495385,-0.0049761916739209,-0.12433523931049,-7.9704913899884,1.2057503745828,0
330,0.045,0.0035164020456337,0.00018306904563366,0.00092360789251411,0.079087039166637,0.062052984624327,-7.9667123886336,5.8828366644943,0
370,0.045,0.0035930292841463,0.00025969628414634,0.00034871889233827,0.044826783123579,0.023237986970222,-7.9666353527963,4.765543405307,0
421,0.045,0.0033672685423812,3.3935542381222e-05,0.00042473650312949,-0.0028400254047132,-0.033333770943052,-7.965620585179,2.4630795043987,0
409,0.045,0.0033808079818347,4.7474981834708e-05,0.00039971988688904,0.0035516735683227,-0.022450299034513,-7.9314005068929,3.3303809137692,0
433,0.045,0.0035178074603493,0.00018447446034929,0.00042327925556575,-0.0055618946889147,-0.063680544213708,-7.9109709146813,1.6159856098015,0
357,0.045,0.0035712278260537,0.00023789482605371,0.00042318550894268,0.068666992177926,0.049339279885814,-7.9007875066818,5.2625212475496,0
422,0.045,0.003365036933712,3.1703933712049e-05,0.00040059654942995,-0.00067949904495359,-0.028749321500606,-7.8516365051151,2.871882819564,0
434,0.045,0.0033995223628402,6.6189362840249e-05,0.00040999322069634,-0.0051292929345345,-0.042893646539154,-7.8349773017703,2.0232884268397,0
317,0.045,0.0036896105921388,0.00035627759213883,0.00095811325875782,0.047917744434551,0.040253773962651,-7.8276895937868,6.405978012999,0
344,0.045,0.0034120409232974,7.8707923297386e-05,0.0006271681558953,0.078614862747099,0.063850077915339,-7.8004240927291,5.7717447219275,0
397,0.045,0.0034366172229427,0.00010328422294272,0.00032792132078642,0.01510857821998,-0.007629218471507,-7.7974787113183,4.2066892076756,0
22,0.045,0.0056803081522092,0.0023469751522092,0.001257421569045,0.0048658862349956,-1.0693816003876,-7.7950039537517,0.12500000400029,0
23,0.045,0.0056651976937524,0.0023318646937524,0.00090290175070413,0.0079313338866066,-0.78050080011094,-7.7906609685274,0.37500001200029,0
384,0.045,0.003511732695235,0.000178399695235,0.00028906068497477,0.028900833683597,0.0086080506751308,-7.7822798761679,4.6847349200265,0
224,0.045,0.005330036306749,0.001996703306749,0.00062804987436389,0.0051207068426164,-0.49292747608163,-7.7819576580754,0.62500002000019,0
410,0.045,0.0033916983036244,5.8365303624446e-05,0.00035390804898323,0.006731834576688,-0.0181751535367,-7.7760433442346,3.7360005075387,0
225,0.045,0.0046250001250781,0.0012916671250781,0.00035021599085977,-0.00045211126166319,-0.27259552119015,-7.7688940223957,0.87500002800019,0
435,0.045,0.0033664269406033,3.3093940603251e-05,0.00039466598097066,-0.0035786085646612,-0.034760322829318,-7.7426729782337,2.4268597485792,0
446,0.045,0.0038913764208365,0.00055804342083652,0.00047045074708078,-0.0053820130481358,-0.12305736191515,-7.7375519940522,1.2004441761505,0
371,0.045,0.0035709630410021,0.00023763004100214,0.00027020810334513,0.048704302373052,0.031833287197302,-7.7278771541886,5.1676081382775,0
423,0.045,0.0033698322558899,3.6499255889907e-05,0.00036738253420294,0.0017408747131521,-0.025185720918476,-7.7206878113193,3.2750193523559,0
447,0.045,0.0035185919001262,0.00018525890012617,0.00039115653980326,-0.0059428760198137,-0.0639878553288,-7.6802297705735,1.6001542869146,0
331,0.045,0.0035290887968702,0.00019575579687019,0.00081784028750463,0.066575820110894,0.058194716238588,-7.6679179770216,6.285751602408,0
304,0.040315330367764,0.0036230366657295,0.00028970366572954,0.0008645082204819,0.013608116835944,0.012283229060221,-7.6552299608308,6.9314881076213,0
436,0.045,0.0033620297373252,2.8696737325205e-05,0.00037139107740408,-0.0015879215897562,-0.030533866590035,-7.6342591082516,2.8259093615163,0
358,0.045,0.0035080149414525,0.00017468194145255,0.00036392425619862,0.066122562562502,0.054076123475831,-7.6341357968249,5.6606527793608,0
448,0.045,0.0033994050828071,6.6072082807086e-05,0.00038092959748917,-0.0056119469951451,-0.043794308012593,-7.6075704879462,1.9971342152348,0
411,0.045,0.003403131825345,6.9798825345036e-05,0.0002920109859087,0.010130633814407,-0.013461422087673,-7.6032998925193,4.1338587964773,0
398,0.045,0.0034511724181799,0.00011783941817992,0.00024819284734967,0.019321350737392,-0.0013388490185976,-7.5979243995394,4.6039264347459,0
424,0.045,0.0033771235474745,4.3790547474498e-05,0.00032065515379888,0.0043613727509566,-0.021635542854522,-7.5730707298042,3.6716693301774,0
24,0.045,0.0057463984191042,0.0024130654191042,0.00089847996055835,0.0048545066701643,-1.0814189871195,-7.5588327764973,0.12500000400029,0
25,0.045,0.0057216788685338,0.0023883458685338,0.00064090617977223,0.0078061275477185,-0.78443768726477,-7.5548114938833,0.37500001200029,0
385,0.045,0.0035203003834269,0.0001869673834269,0.00019592803856583,0.033341152228155,0.016667274720243,-7.5543479531914,5.0793922785178,0
226,0.045,0.0053662224681168,0.0020328894681168,0.00051496283474105,0.0046842008933046,-0.49080534835385,-7.5467528730945,0.6250000200002,0
227,0.045,0.0046331131765896,0.0012997801765896,0.00032813067888841,-0.00091405937816249,-0.26762933550377,-7.5346569141306,0.8750000280002,0
449,0.045,0.003365149304817,3.181630481698e-05,0.00036785959369961,-0.0041818779562846,-0.036019501842709,-7.5197253712883,2.3906399927598,0
437,0.045,0.0033646523303686,3.1319330368571e-05,0.00033734221800219,0.00058369861977249,-0.027371272023725,-7.5099751157461,3.2196577909427,0
345,0.045,0.0033922537070612,5.8920707061179e-05,0.00057250253845454,0.069600013773715,0.063260143908467,-7.5081463602569,6.1655251918176,0
460,0.045,0.0038903211712155,0.00055698817121546,0.00044248725859189,-0.0056209214850431,-0.12166942448055,-7.5046125981158,1.1951379777181,0
318,0.045,0.0036483899020467,0.0003150569020467,0.00085207649558401,0.038599732965776,0.036098011117666,-7.5024687583029,6.8025017937299,0
372,0.045,0.0035345249904156,0.0002011919904156,0.00019731074853336,0.05062378008377,0.039590909670035,-7.4701271554245,5.5576046329653,0
461,0.045,0.003518729044742,0.00018539604474195,0.00036576732035285,-0.0062835882210071,-0.064162546283652,-7.4494886264655,1.5843229640277,0
450,0.045,0.0033596839759248,2.6350975924825e-05,0.00034494383951598,-0.0023360960623772,-0.032100230641141,-7.4168817113879,2.7799359034685,0
412,0.045,0.0034148943722971,8.1561372297127e-05,0.0002122479083556,0.013632779196795,-0.0081980066382815,-7.4135689229108,4.5231179494652,0
425,0.045,0.0033855920876048,5.2259087604813e-05,0.00025821773514251,0.0071747223102653,-0.017679477533008,-7.4091210737203,4.061028385279,0
399,0.045,0.0034642371675868,0.0001309041675868,0.00015133009046036,0.02341018084443,0.0056473606288653,-7.3808187521943,4.9911764187582,0
462,0.045,0.0033988090475048,6.547604750475e-05,0.00035678003862902,-0.0060545236741071,-0.044565317652445,-7.380163674122,1.97098000363,0
438,0.045,0.0033692215691883,3.5888569188269e-05,0.00028967517704516,0.0028543466736623,-0.02430367105556,-7.3700981153741,3.6073381528161,0
332,0.045,0.0035329177351665,0.00019958473516653,0.00074988690764438,0.055219658174238,0.053936230175161,-7.349707555775,6.6735154798385,0
359,0.045,0.0034516755716149,0.00011834257161493,0.00032249764431689,0.061853947360911,0.057417031095968,-7.3483747434924,6.0452987812274,0
26,0.045,0.0058146605246632,0.0024813275246632,0.00073665219707547,0.0049258421077807,-1.093486788194,-7.3226615992431,0.12500000400029,0
27,0.045,0.0057781982428349,0.0024448652428349,0.00052635906887947,0.0078531786456832,-0.78811920466094,-7.3189620192395,0.37500001200029,0
228,0.045,0.0053999193166856,0.0020665863166856,0.00046883003853777,0.0044519437735632,-0.48839835632368,-7.3115480881139,0.62500002000021,0
386,0.045,0.0035157398045153,0.00018240680451534,0.00010165623143033,0.037177038151486,0.025441862880494,-7.3083981685283,5.4626002827411,0
305,0.040313273360719,0.0035737380274507,0.0002404050274507,0.00080239193596612,0.010581921729279,0.010585479274714,-7.3034046932856,7.3198841452888,0
229,0.045,0.0046390927899904,0.0013057597899904,0.00031798654755995,-0.0012404576117784,-0.26261523166427,-7.300419805866,0.87500002800021,0
451,0.045,0.0033612429183195,2.7909918319533e-05,0.00031028156469619,-0.00035748726472498,-0.029257027770214,-7.2992624201726,3.1642962295294,0
463,0.045,0.0033635933756005,3.0260375600549e-05,0.0003447734485677,-0.0047529428757284,-0.037137527941025,-7.2967777643427,2.3544202369403,0
474,0.045,0.0038885942815538,0.0005552612815538,0.00042080427727387,-0.0058376723748148,-0.120169875172,-7.27167320218,1.1898317792858,0
426,0.045,0.0033944311456529,6.1098145652879e-05,0.00017908453339889,0.010079032239627,-0.013205878279173,-7.2292134462822,4.4423094641845,0
475,0.045,0.0035187085736632,0.00018537557366322,0.00034697392886596,-0.0066219730149477,-0.064210412178348,-7.2187474823579,1.5684916411408,0
439,0.045,0.0033752241900251,4.1891190025088e-05,0.0002270699231042,0.005197653746527,-0.020952780829613,-7.2149422549216,3.9881979740807,0
413,0.045,0.003426697871953,9.3364871952986e-05,0.00011576857331089,0.017099026774746,-0.0022495570710419,-7.207289551197,4.9029605589985,0
464,0.045,0.0033574157007559,2.4082700755885e-05,0.00032194310497396,-0.0030554019378336,-0.033499041014047,-7.199504314524,2.7339624454208,0
346,0.045,0.003407773648891,7.4440648891018e-05,0.00054891710893757,0.060242260356574,0.061522922718317,-7.1969463532477,6.5445291659477,0
373,0.045,0.0034915526867131,0.00015821968671312,0.00014458522917467,0.050350443252709,0.046171054803397,-7.1939958639111,5.9346219548895,0
452,0.045,0.0033644307311105,3.1097731110547e-05,0.00026196792031252,0.0016581167394224,-0.026548463810563,-7.1671255009438,3.5430069754549,0
319,0.045,0.0036086732469951,0.00027534024699513,0.0007984088971305,0.030503005668515,0.031909986123913,-7.1581264522953,7.1825388349077,0
476,0.045,0.0033980468157295,6.471381572945e-05,0.00033782707655191,-0.006493454266815,-0.045205477647579,-7.1527568602982,1.9448257920252,0
400,0.045,0.0034750973985741,0.00014176439857411,4.6268765921646e-05,0.027120904491245,0.013575635155187,-7.146669181632,5.3675959325169,0
465,0.045,0.0033583541130412,2.5021113041222e-05,0.00028694022836466,-0.0012572363396973,-0.03093153347642,-7.0885497245991,3.1089346681162,0
28,0.045,0.0058854370662437,0.0025521040662437,0.00066915954759289,0.0050423848382281,-1.1057463989945,-7.086490421989,0.12500000400029,0
29,0.045,0.0058357510913544,0.0025024180913544,0.00048042612949801,0.0079894502230904,-0.79167051649197,-7.0831125445958,0.37500001200029,0
230,0.045,0.0054325679886045,0.0020992349886045,0.00045000913752031,0.004303625169771,-0.48574150486836,-7.0763433031332,0.62500002000021,0
477,0.045,0.0033619023117027,2.856931170275e-05,0.00032614942281846,-0.0053322713470223,-0.038114248097047,-7.0738301573975,2.3182004811208,0
231,0.045,0.0046439294203584,0.0013105964203584,0.00031253401314071,-0.0015312575813493,-0.25749686518223,-7.0661826976013,0.87500002800021,0
387,0.045,0.003494617417011,0.00016128441701102,2.8652880531792e-05,0.039462435122044,0.034127873552282,-7.0450097215131,5.833494712804,0
440,0.045,0.0033820650843028,4.8732084302833e-05,0.00014888029097616,0.0076013959639411,-0.017121429027663,-7.0448579696539,4.3615009789039,0
360,0.045,0.0034064781718403,7.3145171840277e-05,0.00031717805915524,0.056128848195909,0.059286610030084,-7.0441851507206,6.4155428520573,0
488,0.045,0.0038866656088477,0.00055333260884774,0.00040540801907987,-0.0060674591824082,-0.11854816343449,-7.038733806244,1.1845255808535,0
427,0.045,0.0034035549313587,7.0221931358704e-05,8.428238888624e-05,0.012946280611664,-0.0081072305123361,-7.0337603501998,4.8147446992388,0
453,0.045,0.0033684986936149,3.5165693614905e-05,0.00019933834940891,0.00367240406813,-0.023623106702372,-7.0207634361227,3.9153675628825,0
333,0.045,0.0035288029264007,0.00019546992640071,0.00072344438703522,0.044823629504265,0.049206706637744,-7.012848211305,7.0451935245266,0
489,0.045,0.003518677953425,0.00018534495342504,0.00033471536445468,-0.0069713995529456,-0.064129211183617,-6.9880063382502,1.552660318254,0
414,0.045,0.0034380080559081,0.00010467505590806,8.9487416168212e-06,0.020326226079378,0.0046454369710647,-6.9849401947357,5.2725915822926,0
478,0.045,0.0033550985494415,2.1765549441516e-05,0.0003032873684091,-0.0037946634313014,-0.03473778701793,-6.9821269176606,2.687988987373,0
1421,0.040606569926607,0.0035395704280638,0.00020623742806383,0.00081355005941947,0.0083740084635769,0.0090499055119474,-6.9794883408749,7.6476839016976,0
466,0.045,0.0033607620582793,2.7429058279261e-05,0.00023847210592622,0.00053914103718153,-0.028518613543695,-6.9641528865134,3.4786757980936,0
490,0.045,0.0033972703748513,6.3937374851341e-05,0.00032458516737893,-0.0069450880538705,-0.045707189693959,-6.9253500464743,1.9186715804203,0
374,0.045,0.0034498165016774,0.00011648350167741,0.00013397077245539,0.048014290679808,0.051302396102424,-6.9001374423043,6.2977799943553,0
401,0.045,0.0034759907803026,0.00014265778030256,-4.5514003720559e-05,0.030214211611488,0.02267556290131,-6.8960235791152,5.7323674707185,0
479,0.045,0.0033555913796754,2.2258379675363e-05,0.00026821166508171,-0.0021801039684738,-0.032417943472538,-6.877837029026,3.053573106703,0
347,0.045,0.0034280624661125,9.4729466112475e-05,0.00056126908442152,0.050767780241851,0.058588146780098,-6.8675699703153,6.9078482141462,0
454,0.045,0.0033734616873086,4.0128687308599e-05,0.00012244194844278,0.0056625136924227,-0.020311165533636,-6.8605024930254,4.2806924936233,0
441,0.045,0.0033892064208303,5.5873420830302e-05,5.6406402729166e-05,0.0099673659988662,-0.012692473107892,-6.8602311492028,4.7265288394791,0
491,0.045,0.003360201920765,2.6868920765005e-05,0.00031279892309499,-0.005935620185738,-0.038939033659979,-6.8508825504522,2.2819807253014,0
30,0.045,0.0059590328691435,0.0026256998691435,0.00064727797744655,0.0051848711047075,-1.118284054348,-6.850319244734,0.12500000400029,0
31,0.045,0.0058949933002531,0.0025616603002531,0.00046784427450153,0.0081728790026083,-0.79514569493826,-6.8472630699506,0.37500001200029,0
232,0.045,0.0054648869953317,0.0021315539953317,0.00044380915760078,0.0041810894302504,-0.48282805143493,-6.8411385181511,0.62500002000022,0
1420,0.045,0.0035774950188359,0.00024416201883585,0.00081942723870442,0.024646245917997,0.028258164413882,-6.840897528343,7.5035407741967,0
233,0.045,0.0046479687968879,0.0013146357968879,0.00031214189371066,-0.0018257427059658,-0.25224139654775,-6.8319455893357,0.87500002800022,0
467,0.045,0.0033637681571676,3.0435157167553e-05,0.0001762729997215,0.002290285589305,-0.02592497378861,-6.8265846173238,3.8425371516842,0
428,0.045,0.0034128900935855,7.9557093585472e-05,-2.1150323263096e-05,0.015621174102905,-0.0021294492668102,-6.8232112078393,5.1775872320683,0
