x,y,interior,uz,uz_exact,uz_error,ur,ur_exact,ur_error,p,p_exact,p_error,mu_t,mu_t_exact,mu_t_error,mu_eff,mu_eff_exact,mu_eff_error
0.21875,0.53125,True,0.0066443294251724,0.006428257393054082,0.00021607203211831787,-0.052567833798208,-0.052621633130911505,5.3799332703503844e-05,0.083583828358718,0.061737060546875,0.021846767811843,0.0086800624733651,0.008611621187492733,6.844128587236639e-05,0.018680062473365,0.01861162118749273,6.844128587226925e-05
0.21875,0.59375,True,-0.0019724471541959,-0.0021790731352666626,0.0002066259810707626,-0.047923730134737,-0.04785434548466583,-6.938465007116923e-05,0.098899097402316,0.077117919921875,0.021781177480441005,0.0084892919021635,0.008520827971363727,-3.153606920022756e-05,0.018489291902163,0.01852082797136373,-3.1536069200730626e-05
0.21875,0.65625,True,-0.0095313291304637,-0.009710598760648281,0.00017926963018458086,-0.041091067859193,-0.04089753447260591,-0.0001935333865870914,0.11589788096867,0.094207763671875,0.021690117296795,0.0094437653957618,0.00958095131267881,-0.0001371859169170108,0.019443765395762,0.019580951312678813,-0.0001371859169168113
0.21875,0.71875,True,-0.015390417530603,-0.015524580021519796,0.00013416249091679523,-0.032549744594851,-0.03229081130484701,-0.00025893329000398896,0.13460470967794,0.113006591796875,0.021598117881065,0.01059727332587,0.010786208778612142,-0.00018893545274214184,0.02059727332587,0.02078620877861214,-0.0001889354527421401
0.21875,0.78125,True,-0.018849000902201,-0.01891510351015313,6.610260795213152e-05,-0.023067759658011,-0.022804813397669932,-0.00026294626034106816,0.15505271635165,0.133514404296875,0.021538312054774994,0.011164710108438,0.01135457262312671,-0.00018986251468871077,0.021164710108438,0.021354572623126712,-0.00018986251468871077
0.21875,0.84375,True,-0.019164163333643,-0.01911208187266311,-5.208146097988864e-05,-0.013629368573522,-0.013463206869346322,-0.00016616170417567758,0.17732044366468,0.155731201171875,0.021589242492805,0.010718010608872,0.010828280785913504,-0.00011027017704150384,0.020718010608872,0.020828280785913506,-0.00011027017704150557
0.21875,0.90625,False,-0.015516288853178,-0.015281253809007467,-0.0002350350441705333,-0.0053836135053217,-0.005564689035963966,0.00018107553064226553,0.20151883216742,0.179656982421875,0.021861849745545003,0.0092396092857228,0.009211889932024006,2.7719353698794913e-05,0.019239609285723,0.019211889932024006,2.771935369899267e-05
0.21875,0.96875,False,-0.0070792044731067,-0.006524184072986827,-0.0005550204001198728,9.641336364724e-05,-0.0007049909072520677,0.0008014042708993077,0.22731156404583,0.205291748046875,0.022019815998955,0.0081047644538388,0.008162406896586547,-5.764244274774656e-05,0.018104764453839,0.018162406896586547,-5.764244274754707e-05
0.28125,0.03125,False,0.081998354489183,0.08140896546501608,0.0005893890241669142,-0.0056954850179828,-0.005516705718036974,-0.00017877929994582643,0.023202231635097,0.000274658203125,0.022927573431972,0.02430747537641,0.024415204440979332,-0.00010772906456933337,0.03430747537641,0.034415204440979334,-0.00010772906456933684
0.28125,0.09375,False,0.079520706854115,0.07887367209150398,0.0006470347626110207,-0.016448307514425,-0.016292280906782253,-0.0001560266076427487,0.02531189079079,0.002471923828125,0.022839966962665,0.023470917016892,0.023669803863659224,-0.0001988868467672246,0.033470917016892,0.033669803863659226,-0.00019888684676722806
