id,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
641,0.013202326103306,0.003202326103306,0.030526925489176,-0.0042639201219977,-8.5689703896304e-05,0.046875,0.640625,0
673,0.012980293472186,0.0029802934721861,0.032439767573923,-0.0039113300050143,-0.00014603036105119,0.046875,0.671875,0
705,0.012732269820995,0.0027322698209945,0.034445529720339,-0.0035078924590059,-0.00019856459240037,0.046875,0.703125,0
737,0.012464745521688,0.0024647455216884,0.036544386913157,-0.0030649051348132,-0.00024159790528144,0.046875,0.734375,0
769,0.012184694093113,0.0021846940931133,0.038736487178617,-0.0025954135572344,-0.00027347631485439,0.046875,0.765625,0
801,0.011899101987768,0.0018991019877676,0.041021903194302,-0.0021141471436417,-0.0002926087959296,0.046875,0.796875,0
833,0.011614182343575,0.0016141823435745,0.043400506231244,-0.0016375125972889,-0.00029746565762231,0.046875,0.828125,0
865,0.011334527084793,0.0013345270847927,0.045871815847302,-0.0011837610114601,-0.00028658086447736,0.046875,0.859375,0
897,0.011063244172088,0.0010632441720881,0.04843559293557,-0.00077290068652678,-0.00025882021171965,0.046875,0.890625,0
929,0.010802082479335,0.00080208247933523,0.051094335140202,-0.00042443084039051,-0.00021410869520611,0.046875,0.921875,0
961,0.010540916852807,0.0005409168528069,0.053853029587785,-0.00015326712297307,-0.00015222960234311,0.046875,0.953125,0
993,0.010244770642993,0.00024477064299299,0.056696489144349,1.6792945863715e-05,-6.3169686351014e-05,0.046875,0.984375,0
1,0.010290532168428,0.00029053216842801,0.011717502456293,1.4890582154182e-05,-1.7538610829588e-05,0.046875,0.015625,0
33,0.010577478235361,0.0005774782353612,0.011743096556656,-7.6798187723486e-05,0.00016373956593239,0.046875,0.046875,0
65,0.010965560891215,0.00096556089121468,0.011892209229853,-0.0003131834594579,0.00030412362262558,0.046875,0.078125,0
97,0.011323950802283,0.0013239508022827,0.012142591361062,-0.00064946949791588,0.00041209998088582,0.046875,0.109375,0
129,0.011655809325302,0.0016558093253022,0.01248695630636,-0.0010568154768735,0.00049339637615254,0.046875,0.140625,0
161,0.011967887193076,0.0019678871930764,0.012923854284852,-0.0015119642324375,0.00055125211771949,0.046875,0.171875,0
193,0.012263229360748,0.0022632293607478,0.013452952073193,-0.001993896940926,0.00058795402198658,0.046875,0.203125,0
225,0.012541832781932,0.0025418327819317,0.014074013173597,-0.0024834645697565,0.00060546017024375,0.046875,0.234375,0
257,0.012801490205364,0.0028014902053642,0.014786882369336,-0.0029634057837308,0.00060560368932865,0.046875,0.265625,0
289,0.013038590897838,0.0030385908978379,0.015591515901067,-0.0034183249284058,0.00059017944450915,0.046875,0.296875,0
321,0.013248828550879,0.0032488285508791,0.01648796417048,-0.0038346807739264,0.00056098712380285,0.046875,0.328125,0
353,0.013427757268775,0.0034277572687746,0.01747634186189,-0.0042008022509006,0.00051984541258637,0.046875,0.359375,0
385,0.01357119990219,0.00357119990219,0.018556796824471,-0.0045069147272602,0.00046858917213576,0.046875,0.390625,0
417,0.013675542525701,0.0036755425257011,0.019729479633178,-0.0047451649475265,0.00040906061683697,0.046875,0.421875,0
449,0.01373794829034,0.0037379482903402,0.020994517350588,-0.0049096417074928,0.00034310131570144,0.046875,0.453125,0
481,0.013756515094176,0.0037565150941757,0.022351996102872,-0.0049963929988669,0.00027254755178552,0.046875,0.484375,0
513,0.013730392856203,0.0037303928562029,0.023801956973605,-0.0050034395562075,0.00019922797529237,0.046875,0.515625,0
545,0.01365986656993,0.0036598665699301,0.025344408742921,-0.0049307807815987,0.00012495985971404,0.046875,0.546875,0
578,0.013028222490545,0.0030282224905454,0.037423992252046,-0.0071325001597941,0.00014134065400957,0.078125,0.578125,0
610,0.012918170667754,0.0029181706677537,0.040311544168407,-0.006798743046366,-5.139757643169e-05,0.078125,0.609375,0
642,0.012800331281383,0.0028003312813834,0.043352782893478,-0.0063636812610862,-0.0002323114715862,0.078125,0.640625,0
674,0.0126755304021,0.0026755304020999,0.046547846397633,-0.0058386283593872,-0.00039671043049014,0.078125,0.671875,0
706,0.012543721056691,0.0025437210566908,0.049896881211385,-0.0052375923463412,-0.00053998856860462,0.078125,0.703125,0
738,0.012403774610196,0.0024037746101962,0.053400004283369,-0.0045772132130718,-0.00065763923537734,0.078125,0.734375,0
770,0.012253242209984,0.0022532422099843,0.05705727920709,-0.0038767006433219,-0.00074526887435124,0.078125,0.765625,0
802,0.012088053163454,0.0020880531634536,0.060868691088276,-0.0031577908411869,-0.00079858311708215,0.078125,0.796875,0
834,0.011902151171779,0.0019021511717794,0.064834002255312,-0.0024448329290785,-0.00081333080705815,0.078125,0.828125,0
